Use dark mode frequency,Preferred everyday mode,Why prefer that mode,Satisfaction with text visibility,Comfort scale (1-10),Eye strain difference noticed,More visually attractive,Comfort after long use in dark mode,Readability of dark vs light,Date
Frequently,Dark mode,Less glare,Very dissatisfied,7,Yes: Dark mode reduces eye strain,Dark mode,Uncomfortable,Slightly worse,18 November 2025
Frequently,Light mode,Saves battery,Satisfied,3,No difference,Dark mode,Very uncomfortable,Much better,18 November 2025
Frequently,Light mode,Looks better,Satisfied,4,Yes: Dark mode reduces eye strain,Dark mode,Somewhat comfortable,About the same,19 November 2025
Never,Dark mode,Easier on the eyes,Very satisfied,4,Yes: Dark mode reduces eye strain,Light mode,Uncomfortable,Slightly better,19 November 2025
Sometimes,Dark mode,Habit,Neutral,9,Yes: Light mode reduces eye strain,Dark mode,Uncomfortable,Slightly worse,19 November 2025
Frequently,Dark mode,Looks better,Satisfied,9,No difference,Light mode,Somewhat comfortable,Slightly better,19 November 2025
Frequently,Dark mode,Easier on the eyes,Satisfied,10,Yes: Light mode reduces eye strain,Dark mode,Very comfortable,Slightly worse,19 November 2025
Frequently,Dark mode,Easier on the eyes,Very satisfied,6,No difference,Light mode,Uncomfortable,Much better,19 November 2025
Sometimes,Light mode,Easier on the eyes,Neutral,4,Yes: Light mode reduces eye strain,Light mode,Somewhat comfortable,Much better,19 November 2025
Frequently,Dark mode,Looks better,Very satisfied,5,Yes: Light mode reduces eye strain,Light mode,Somewhat comfortable,About the same,19 November 2025
Always,Light mode,Looks better,Neutral,4,Yes: Dark mode reduces eye strain,Dark mode,Neutral,Much better,20 November 2025
Frequently,Dark mode,Looks better,Very satisfied,8,No difference,Light mode,Somewhat comfortable,Slightly worse,20 November 2025
Sometimes,Dark mode,Saves battery,Satisfied,8,No difference,Light mode,Somewhat comfortable,Slightly worse,20 November 2025
Always,Light mode,Easier on the eyes,Very satisfied,4,Yes: Light mode reduces eye strain,Dark mode,Neutral,About the same,20 November 2025
Always,Dark mode,Easier on the eyes,Very dissatisfied,4,Yes: Light mode reduces eye strain,Light mode,Somewhat comfortable,Much worse,21 November 2025
